date,station_name,min_temp_avg,mon
2003-04-15,Arapaho Ridge,23.5,Apr
1993-07-15,Bear Lake,47.9,Jul
1999-11-01,Bear Lake,23.1,Nov
2002-04-01,Bear Lake,25.9,Apr
2007-11-01,Bear Lake,23.1,Nov
2010-12-01,Bear Lake,16.4,Dec
2012-04-15,Bear Lake,25.9,Apr
2013-09-01,Bear Lake,39.8,Sep
2014-12-01,Bear Lake,16.4,Dec
2015-02-01,Bear Lake,15.1,Feb
2015-09-01,Bear Lake,39.8,Sep
2015-10-01,Bear Lake,33.2,Oct
2016-10-15,Bear Lake,33.2,Oct
2016-11-01,Bear Lake,23.1,Nov
2017-03-15,Bear Lake,20.7,Mar
2018-01-01,Bear Lake,15.7,Jan
2009-03-01,Beaver Ck Village,18.6,Mar
2012-04-15,Beaver Ck Village,25.2,Apr
2013-09-01,Beaver Ck Village,34.8,Sep
2015-02-01,Beaver Ck Village,11.1,Feb
2016-11-01,Beaver Ck Village,17.2,Nov
2017-02-01,Beaver Ck Village,11.1,Feb
2017-03-15,Beaver Ck Village,18.6,Mar
1985-10-01,Bison Lake,28.1,Oct
2014-12-01,Black Mountain,15.7,Dec
2015-02-01,Black Mountain,15.7,Feb
2005-06-01,Buckskin Joe,38.8,Jun
2006-06-15,Buckskin Joe,38.8,Jun
2006-12-01,Buckskin Joe,12.9,Dec
1986-08-01,Burro Mountain,45.4,Aug
1986-08-15,Burro Mountain,45.4,Aug
2013-09-01,Burro Mountain,37.4,Sep
2014-12-01,Burro Mountain,9.6,Dec
2017-03-15,Burro Mountain,16.3,Mar
1993-07-15,Butte,42.1,Jul
1993-08-15,Butte,42.6,Aug
1993-09-15,Butte,38.1,Sep
2002-10-01,Butte,26.8,Oct
2013-09-01,Butte,38.1,Sep
2015-02-01,Butte,9.5,Feb
2015-10-01,Butte,26.8,Oct
2016-11-01,Butte,12.8,Nov
1993-08-15,Cascade,37.8,Aug
1993-09-01,Cascade,30.5,Sep
2013-09-01,Cascade,30.5,Sep
2015-01-15,Cascade,-0.7,Jan
2015-02-01,Cascade,3,Feb
2015-03-15,Cascade,11.2,Mar
2017-02-01,Cascade,3,Feb
2010-12-01,Cascade #2,15.7,Dec
2012-04-15,Cascade #2,28,Apr
2013-09-01,Cascade #2,41.1,Sep
2014-12-01,Cascade #2,15.7,Dec
2015-01-15,Cascade #2,16.6,Jan
2015-02-01,Cascade #2,15.7,Feb
2015-03-15,Cascade #2,24,Mar
2015-10-01,Cascade #2,32.6,Oct
2016-11-01,Cascade #2,23.8,Nov
2017-02-01,Cascade #2,15.7,Feb
2017-03-15,Cascade #2,24,Mar
2017-12-01,Cascade #2,15.7,Dec
2018-01-01,Cascade #2,16.6,Jan
1980-12-01,Columbine,10.8,Dec
1980-12-15,Columbine,10.8,Dec
1981-01-01,Columbine,10.2,Jan
1981-01-15,Columbine,10.2,Jan
1981-02-01,Columbine,11.2,Feb
1981-02-15,Columbine,11.2,Feb
1981-03-01,Columbine,16,Mar
1981-03-15,Columbine,16,Mar
1991-01-01,Columbine Pass,10.9,Jan
1991-01-15,Columbine Pass,10.9,Jan
1993-07-15,Columbine Pass,45.9,Jul
1994-05-15,Columbine Pass,32.4,May
2003-05-15,Columbine Pass,32.4,May
2006-05-15,Columbine Pass,32.4,May
2007-11-01,Columbine Pass,19.2,Nov
2009-05-15,Columbine Pass,32.4,May
2009-09-01,Columbine Pass,37.4,Sep
2009-11-01,Columbine Pass,19.2,Nov
2012-04-15,Columbine Pass,23.3,Apr
2012-06-15,Columbine Pass,39.1,Jun
2013-09-01,Columbine Pass,37.4,Sep
2014-05-15,Columbine Pass,32.4,May
2014-12-01,Columbine Pass,9.6,Dec
2015-02-01,Columbine Pass,13.3,Feb
2015-03-15,Columbine Pass,16.3,Mar
2015-06-15,Columbine Pass,39.1,Jun
2015-10-01,Columbine Pass,30.5,Oct
2016-06-15,Columbine Pass,39.1,Jun
2016-11-01,Columbine Pass,19.2,Nov
2017-02-01,Columbine Pass,13.3,Feb
2017-03-15,Columbine Pass,16.3,Mar
2017-09-01,Columbine Pass,37.4,Sep
2010-12-01,Columbus Basin,16.1,Dec
1989-04-15,Copeland Lake,27.6,Apr
1990-07-01,Copeland Lake,48.4,Jul
1993-08-15,Copeland Lake,47.5,Aug
1995-12-01,Copeland Lake,15.3,Dec
2003-01-15,Copeland Lake,17.1,Jan
2005-11-01,Copeland Lake,23,Nov
2006-01-01,Copeland Lake,17.1,Jan
2007-04-15,Copeland Lake,27.6,Apr
2010-12-01,Copeland Lake,15.3,Dec
2012-03-15,Copeland Lake,22.6,Mar
2012-04-15,Copeland Lake,27.6,Apr
2012-11-15,Copeland Lake,23,Nov
2013-01-15,Copeland Lake,17.1,Jan
2013-09-01,Copeland Lake,41.4,Sep
2014-12-01,Copeland Lake,15.3,Dec
2015-01-15,Copeland Lake,17.1,Jan
2015-02-01,Copeland Lake,14.7,Feb
2015-10-01,Copeland Lake,32.9,Oct
2016-01-15,Copeland Lake,17.1,Jan
2016-02-15,Copeland Lake,14.7,Feb
2016-11-01,Copeland Lake,23,Nov
2017-02-01,Copeland Lake,14.7,Feb
2017-03-15,Copeland Lake,22.6,Mar
2017-12-01,Copeland Lake,15.3,Dec
2018-01-01,Copeland Lake,17.1,Jan
2017-02-01,Crosho,5.7,Feb
2017-03-15,Crosho,10.4,Mar
1993-07-15,Culebra #2,36.4,Jul
2014-08-01,Cumbres Trestle,37.2,Aug
2014-09-01,Cumbres Trestle,30.4,Sep
2001-05-01,Deadman Hill,26.8,May
2003-05-15,Dry Lake,31.5,May
2012-04-15,Dry Lake,21.8,Apr
2013-09-01,Dry Lake,36.1,Sep
2014-12-01,Dry Lake,7.4,Dec
2007-08-01,Echo Lake,37.5,Aug
2011-06-01,Echo Lake,30.9,Jun
2001-04-15,Elk River,21.1,Apr
2012-04-15,Elk River,21.1,Apr
2013-09-01,Elk River,35.9,Sep
2014-12-01,Elk River,6.7,Dec
2015-02-01,Elk River,10.1,Feb
2015-10-01,Elk River,28.2,Oct
2016-11-01,Elk River,14.8,Nov
2017-02-01,Elk River,10.1,Feb
2017-03-15,Elk River,14.1,Mar
2016-11-01,Elkhead Divide,35.5,Nov
2017-02-15,Elkhead Divide,32.6,Feb
2017-03-15,Elkhead Divide,37.1,Mar
2017-09-01,Elkhead Divide,40.8,Sep
2011-07-01,Elliot Ridge,48.2,Jul
2014-12-01,Elliot Ridge,11.9,Dec
2015-06-15,Elliot Ridge,43.3,Jun
2015-10-15,Elliot Ridge,28.7,Oct
2011-10-01,Fool Creek,30.6,Oct
2005-02-15,Glen Cove,14.6,Feb
2009-02-01,Glen Cove,14.6,Feb
2009-07-01,Glen Cove,43.6,Jul
2010-08-15,Glen Cove,41.3,Aug
2007-06-01,Grayback,39.8,Jun
2007-06-15,Grayback,39.8,Jun
2007-10-01,Grayback,27.7,Oct
2007-10-15,Grayback,27.7,Oct
2007-11-01,Grayback,21.3,Nov
1980-11-01,Grizzly Peak,11.7,Nov
2015-10-01,Hayden Pass,32.2,Oct
2008-10-15,Hourglass Lake,30,Oct
2007-06-01,Jackwhacker Gulch,36,Jun
2007-11-15,Jackwhacker Gulch,17.3,Nov
2008-04-01,Jackwhacker Gulch,23.5,Apr
2008-04-15,Jackwhacker Gulch,23.5,Apr
2008-05-01,Jackwhacker Gulch,29.7,May
2008-10-15,Jackwhacker Gulch,28,Oct
2008-11-01,Jackwhacker Gulch,17.3,Nov
2008-11-15,Jackwhacker Gulch,17.3,Nov
2008-12-01,Jackwhacker Gulch,12,Dec
2008-12-15,Jackwhacker Gulch,12,Dec
2009-01-01,Jackwhacker Gulch,13.2,Jan
2009-01-15,Jackwhacker Gulch,13.2,Jan
2009-02-01,Jackwhacker Gulch,9.4,Feb
2009-02-15,Jackwhacker Gulch,9.4,Feb
2009-03-01,Jackwhacker Gulch,15,Mar
2009-03-15,Jackwhacker Gulch,15,Mar
2009-04-01,Jackwhacker Gulch,23.5,Apr
2009-04-15,Jackwhacker Gulch,23.5,Apr
2009-05-01,Jackwhacker Gulch,29.7,May
2009-06-01,Jackwhacker Gulch,36,Jun
2009-07-15,Jackwhacker Gulch,41.9,Jul
1999-10-01,Jones Pass,23.3,Oct
1999-10-15,Jones Pass,23.3,Oct
2000-09-15,Jones Pass,34.1,Sep
2000-10-01,Jones Pass,23.3,Oct
2000-10-15,Jones Pass,23.3,Oct
2000-11-01,Jones Pass,11.3,Nov
2000-11-15,Jones Pass,11.3,Nov
2000-12-01,Jones Pass,5.2,Dec
2001-02-15,Jones Pass,4.3,Feb
2002-08-15,Jones Pass,40.6,Aug
1992-07-01,Lake Eldora,45.6,Jul
1993-05-01,Lake Eldora,30.2,May
1993-05-15,Lake Eldora,30.2,May
1993-08-15,Lake Eldora,39.8,Aug
2005-01-15,Lake Eldora,10.4,Jan
2007-08-01,Lake Eldora,39.8,Aug
2007-11-01,Lake Eldora,22.8,Nov
2012-04-15,Lake Eldora,22.6,Apr
2012-06-15,Lake Eldora,37.9,Jun
2013-09-01,Lake Eldora,35.8,Sep
2014-12-01,Lake Eldora,14.1,Dec
2015-02-01,Lake Eldora,15.8,Feb
2015-10-01,Lake Eldora,30.3,Oct
2016-11-01,Lake Eldora,22.8,Nov
2017-02-01,Lake Eldora,15.8,Feb
2017-03-15,Lake Eldora,20.4,Mar
2017-09-01,Lake Eldora,35.8,Sep
1993-07-01,Lake Irene,38.8,Jul
1993-08-01,Lake Irene,38.1,Aug
1993-08-15,Lake Irene,38.1,Aug
2007-11-15,Lake Irene,11.2,Nov
1988-10-15,Lily Pond,32,Oct
1988-11-01,Lily Pond,22.7,Nov
1989-04-15,Lily Pond,24.1,Apr
1989-05-01,Lily Pond,31.5,May
1989-05-15,Lily Pond,31.5,May
