date,station_name,station_id,start_snow_water,start_snow_depth,max_temp_mean,min_temp_mean,start,end,latitude,longitude,elev,county,mon,avg_temp,year,rank
2003-04-15,Arapaho Ridge,1030,19.6,19,407,23.5,2002-08-01,2018-05-09,40.35,-106.38,10958,Grand,Apr,398,2003,4
1993-07-15,Bear Lake,322,0,NA,60,47.9,1979-10-01,2018-05-09,40.31,-105.64,9499,Larimer,Jul,57.5,1993,31
1999-11-01,Bear Lake,322,0,NA,53,23.1,1979-10-01,2018-05-09,40.31,-105.64,9499,Larimer,Nov,43,1999,44.5
2002-04-01,Bear Lake,322,9.4,NA,55,25.9,1979-10-01,2018-05-09,40.31,-105.64,9499,Larimer,Apr,44,2002,30
2007-11-01,Bear Lake,322,0,1,45,23.1,1979-10-01,2018-05-09,40.31,-105.64,9499,Larimer,Nov,40,2007,17.5
2010-12-01,Bear Lake,322,3.4,17,35,16.4,1979-10-01,2018-05-09,40.31,-105.64,9499,Larimer,Dec,30.5,2010,45
2012-04-15,Bear Lake,322,12.4,39,52,25.9,1979-10-01,2018-05-09,40.31,-105.64,9499,Larimer,Apr,42.5,2012,30
2013-09-01,Bear Lake,322,0,0,64,39.8,1979-10-01,2018-05-09,40.31,-105.64,9499,Larimer,Sep,56,2013,35.5
2014-12-01,Bear Lake,322,3.5,18,40,16.4,1979-10-01,2018-05-09,40.31,-105.64,9499,Larimer,Dec,33.5,2014,29
2015-02-01,Bear Lake,322,9.5,31,39,15.1,1979-10-01,2018-05-09,40.31,-105.64,9499,Larimer,Feb,33,2015,27
2015-09-01,Bear Lake,322,0,0,65,39.8,1979-10-01,2018-05-09,40.31,-105.64,9499,Larimer,Sep,56.5,2015,35.5
2015-10-01,Bear Lake,322,0,0,60,33.2,1979-10-01,2018-05-09,40.31,-105.64,9499,Larimer,Oct,50.5,2015,28
2016-10-15,Bear Lake,322,0,0,52,33.2,1979-10-01,2018-05-09,40.31,-105.64,9499,Larimer,Oct,46,2016,41
2016-11-01,Bear Lake,322,0,0,50,23.1,1979-10-01,2018-05-09,40.31,-105.64,9499,Larimer,Nov,42,2016,26.5
2017-03-15,Bear Lake,322,22.3,58,48,20.7,1979-10-01,2018-05-09,40.31,-105.64,9499,Larimer,Mar,40,2017,31.5
2018-01-01,Bear Lake,322,4.3,21,34,15.7,1979-10-01,2018-05-09,40.31,-105.64,9499,Larimer,Jan,29,2018,31
2009-03-01,Beaver Ck Village,1041,12.7,42,44,18.6,2002-11-01,2018-05-09,39.6,-106.51,8498,Eagle,Mar,337,2009,5
2012-04-15,Beaver Ck Village,1041,0.5,3,58,25.2,2002-11-01,2018-05-09,39.6,-106.51,8498,Eagle,Apr,45.5,2012,30
2013-09-01,Beaver Ck Village,1041,0,0,70,34.8,2002-11-01,2018-05-09,39.6,-106.51,8498,Eagle,Sep,59.5,2013,18.5
