date,station_name,station_id,start_snow_water,start_snow_depth,max_temp_mean,min_temp_mean,start,end,latitude,longitude,elev,county,mon,avg_temp,year,rank
1987-03-15,Beartown,327,27.4,NA,27,11.1,1979-10-01,2018-05-09,37.71,-107.51,11598,Mineral,Mar,12,1987,5645
1988-06-15,Berthoud Summit,335,0,NA,24,34.2,1963-09-01,2018-05-09,39.8,-105.78,11296,Grand,Jun,9.5,1988,5432.5
1997-04-01,Berthoud Summit,335,19.7,NA,32,17.4,1963-09-01,2018-05-09,39.8,-105.78,11296,Grand,Apr,18,1997,5659.5
1997-11-15,Berthoud Summit,335,2.5,NA,12,13.3,1963-09-01,2018-05-09,39.8,-105.78,11296,Grand,Nov,-0.5,1997,5641.5
1997-12-01,Berthoud Summit,335,3.6,NA,9,5.2,1963-09-01,2018-05-09,39.8,-105.78,11296,Grand,Dec,-3,1997,5650
1997-12-15,Berthoud Summit,335,5.1,NA,7,5.2,1963-09-01,2018-05-09,39.8,-105.78,11296,Grand,Dec,-4,1997,5650
1998-01-01,Berthoud Summit,335,7.7,NA,8,7,1963-09-01,2018-05-09,39.8,-105.78,11296,Grand,Jan,-1.5,1998,5639
1998-01-15,Berthoud Summit,335,8.7,NA,6,7,1963-09-01,2018-05-09,39.8,-105.78,11296,Grand,Jan,-3,1998,5648.5
1998-02-01,Berthoud Summit,335,10.7,NA,10,5.6,1963-09-01,2018-05-09,39.8,-105.78,11296,Grand,Feb,0,1998,5652
1997-04-01,Bison Lake,345,32,NA,31,18.1,1985-09-01,2018-05-09,39.76,-107.36,10876,Garfield,Apr,18.5,1997,5649
1987-03-15,Brumley,369,7.3,NA,30,8.6,1979-10-01,2018-05-09,39.09,-106.54,10598,Lake,Mar,13.5,1987,5645
1999-04-01,Brumley,369,6.6,NA,37,18.8,1979-10-01,2018-05-09,39.09,-106.54,10598,Lake,Apr,21.5,1999,5649
2006-03-01,Buckskin Joe,938,9.5,31,123,17.5,1998-08-01,2018-05-09,39.3,-106.11,11149,Park,Mar,58.5,2006,5658.5
2006-04-15,Buckskin Joe,938,12.2,37,116,22.8,1998-08-01,2018-05-09,39.3,-106.11,11149,Park,Apr,58,2006,5665
2006-05-01,Buckskin Joe,938,12.3,NA,130,28.7,1998-08-01,2018-05-09,39.3,-106.11,11149,Park,May,68,2006,5428.5
1995-12-15,Buffalo Park,913,5.9,NA,24,0.1,1995-09-01,2018-05-09,40.23,-106.6,9236,Grand,Dec,6.5,1995,5633.5
1997-04-01,Buffalo Park,913,15.6,NA,37,19.3,1995-09-01,2018-05-09,40.23,-106.6,9236,Grand,Apr,20.5,1997,5659.5
1998-03-01,Buffalo Park,913,10.9,NA,33,8.8,1995-09-01,2018-05-09,40.23,-106.6,9236,Grand,Mar,15,1998,5645
2000-11-15,Buffalo Park,913,1.6,NA,28,9.9,1995-09-01,2018-05-09,40.23,-106.6,9236,Grand,Nov,12.5,2e3,5614.5
2002-02-01,Buffalo Park,913,4.6,NA,27,-0.5,1995-09-01,2018-05-09,40.23,-106.6,9236,Grand,Feb,6,2002,5666
2002-03-01,Buffalo Park,913,6.6,NA,30,8.8,1995-09-01,2018-05-09,40.23,-106.6,9236,Grand,Mar,12.5,2002,5655
2004-02-01,Buffalo Park,913,6.6,30,22,-0.5,1995-09-01,2018-05-09,40.23,-106.6,9236,Grand,Feb,6.5,2004,5646.5
2007-01-15,Buffalo Park,913,6.1,29,29,0.7,1995-09-01,2018-05-09,40.23,-106.6,9236,Grand,Jan,9,2007,5639
2011-02-01,Buffalo Park,913,12.3,48,25,-0.5,1995-09-01,2018-05-09,40.23,-106.6,9236,Grand,Feb,8,2011,5646.5
2013-01-01,Buffalo Park,913,5.2,28,22,0.7,1995-09-01,2018-05-09,40.23,-106.6,9236,Grand,Jan,4.5,2013,5653
1988-07-15,Burro Mountain,378,0,NA,15,45.9,1978-10-01,2018-05-09,39.88,-107.6,9397,Rio Blanco,Jul,3,1988,5431
1988-08-01,Burro Mountain,378,0,NA,-60,45.4,1978-10-01,2018-05-09,39.88,-107.6,9397,Rio Blanco,Aug,-60,1988,5461
1988-08-15,Burro Mountain,378,0,NA,-60,45.4,1978-10-01,2018-05-09,39.88,-107.6,9397,Rio Blanco,Aug,-60,1988,5461
1988-09-01,Burro Mountain,378,0,NA,-60,37.4,1978-10-01,2018-05-09,39.88,-107.6,9397,Rio Blanco,Sep,-60,1988,5490
1988-09-15,Burro Mountain,378,0.2,NA,-60,37.4,1978-10-01,2018-05-09,39.88,-107.6,9397,Rio Blanco,Sep,-60,1988,5490
1988-10-01,Burro Mountain,378,0,NA,-60,30.5,1978-10-01,2018-05-09,39.88,-107.6,9397,Rio Blanco,Oct,-60,1988,5624.5
1993-04-15,Burro Mountain,378,26.4,NA,-16,23.3,1978-10-01,2018-05-09,39.88,-107.6,9397,Rio Blanco,Apr,-25.5,1993,5681
1993-05-15,Burro Mountain,378,18.2,NA,-29,32.4,1978-10-01,2018-05-09,39.88,-107.6,9397,Rio Blanco,May,-34,1993,5446
1988-06-15,Cascade,386,0,NA,76,33.8,1978-10-01,2018-05-09,37.65,-107.81,8879,San Juan,Jun,41,1988,5424
1988-07-15,Cascade,386,0,NA,80,38.2,1978-10-01,2018-05-09,37.65,-107.81,8879,San Juan,Jul,46.5,1988,5415
1988-08-01,Cascade,386,0,NA,77,37.8,1978-10-01,2018-05-09,37.65,-107.81,8879,San Juan,Aug,37.5,1988,5441
1988-09-01,Cascade,386,0,NA,70,30.5,1978-10-01,2018-05-09,37.65,-107.81,8879,San Juan,Sep,36.5,1988,5462
1988-09-15,Cascade,386,0,NA,66,30.5,1978-10-01,2018-05-09,37.65,-107.81,8879,San Juan,Sep,28.5,1988,5471
1994-06-01,Cascade,386,0,NA,72,33.8,1978-10-01,2018-05-09,37.65,-107.81,8879,San Juan,Jun,33.5,1994,5432.5
1996-08-01,Cascade,386,0,NA,66,37.8,1978-10-01,2018-05-09,37.65,-107.81,8879,San Juan,Aug,40.5,1996,5427.5
