Accuracy,Algorithm,Kfolds,Type,Row,Pred,Target,guessing_chance,name
0.98,Decision Tree,5,C,3195,36,2,0.5,Tree
0.98,Decision Tree,8,C,3195,36,2,0.5,Tree
0.93,Random Forest: 5 trees,5,C,3195,36,2,0.5,Forest_5
0.92,Random Forest: 8 trees,5,C,3195,36,2,0.5,Forest_8
0.92,Random Forest: 5 trees,8,C,3195,36,2,0.5,Forest_5
0.92,Random Forest: 8 trees,8,C,3195,36,2,0.5,Forest_8
0.84,SVM,8,C,3195,36,2,0.5,SVM
0.83,SVM,5,C,3195,36,2,0.5,SVM
0.83,KNN with 8 neighbors,8,C,3195,36,2,0.5,KNN_8
0.82,KNN with 4 neighbors,5,C,3195,36,2,0.5,KNN_4
0.82,KNN with 8 neighbors,5,C,3195,36,2,0.5,KNN_8
0.82,KNN with 4 neighbors,8,C,3195,36,2,0.5,KNN_4
0.79,Neural Network with 0.18 learning rate and 100 epochs,5,C,3195,36,2,0.5,NN_.18_100
0.79,Neural Network with 0.12 learning rate and 150 epochs,5,C,3195,36,2,0.5,NN_.12_150
0.78,Neural Network with 0.12 learning rate and 150 epochs,8,C,3195,36,2,0.5,NN_.12_150
0.74,Neural Network with 0.18 learning rate and 100 epochs,8,C,3195,36,2,0.5,NN_.18_100
0.71,KNN with 4 neighbors,5,N,767,8,2,0.5,KNN_4
0.71,KNN with 8 neighbors,5,N,767,8,2,0.5,KNN_8
0.7,Neural Network with 0.12 learning rate and 150 epochs,5,N,767,8,2,0.5,NN_.12_150
0.7,Random Forest: 8 trees,5,N,767,8,2,0.5,Forest_8
0.7,Neural Network with 0.18 learning rate and 100 epochs,5,C,1728,6,4,0.25,NN_.18_100
0.7,Neural Network with 0.12 learning rate and 150 epochs,5,C,1728,6,4,0.25,NN_.12_150
0.7,Neural Network with 0.18 learning rate and 100 epochs,8,C,1728,6,4,0.25,NN_.18_100
0.7,Neural Network with 0.12 learning rate and 150 epochs,8,C,1728,6,4,0.25,NN_.12_150
0.7,Random Forest: 8 trees,8,N,767,8,2,0.5,Forest_8
0.69,Neural Network with 0.18 learning rate and 100 epochs,5,N,767,8,2,0.5,NN_.18_100
0.68,Random Forest: 5 trees,5,N,767,8,2,0.5,Forest_5
0.67,Naive Bayes,5,N,767,8,2,0.5,NB
0.67,SVM,5,N,767,8,2,0.5,SVM
0.67,Naive Bayes,8,C,1728,6,4,0.25,NB
0.67,KNN with 4 neighbors,8,N,767,8,2,0.5,KNN_4
0.67,Neural Network with 0.18 learning rate and 100 epochs,8,N,767,8,2,0.5,NN_.18_100
0.67,SVM,8,N,767,8,2,0.5,SVM
0.67,Neural Network with 0.12 learning rate and 150 epochs,8,N,767,8,2,0.5,NN_.12_150
0.66,Naive Bayes,5,C,1728,6,4,0.25,NB
0.66,Naive Bayes,8,N,767,8,2,0.5,NB
0.66,Random Forest: 5 trees,8,N,767,8,2,0.5,Forest_5
0.65,Decision Tree,5,N,767,8,2,0.5,Tree
0.65,KNN with 8 neighbors,8,N,767,8,2,0.5,KNN_8
0.63,Naive Bayes,5,C,3195,36,2,0.5,NB
0.63,Decision Tree,8,N,767,8,2,0.5,Tree
0.62,Naive Bayes,8,C,3195,36,2,0.5,NB
0.58,SVM,5,N,4176,8,6,0.17,SVM
0.58,KNN with 8 neighbors,5,N,4176,8,6,0.17,KNN_8
0.58,SVM,8,N,4176,8,6,0.17,SVM
0.58,KNN with 8 neighbors,8,N,4176,8,6,0.17,KNN_8
0.57,Decision Tree,8,C,5000,5,10,0.1,Tree
0.55,SVM,5,C,1728,6,4,0.25,SVM
0.55,KNN with 8 neighbors,5,C,1728,6,4,0.25,KNN_8
0.55,KNN with 4 neighbors,5,N,4176,8,6,0.17,KNN_4
0.55,Decision Tree,5,C,5000,5,10,0.1,Tree
0.54,Random Forest: 5 trees,5,C,1728,6,4,0.25,Forest_5
0.54,Random Forest: 8 trees,5,C,1728,6,4,0.25,Forest_8
0.54,Random Forest: 5 trees,5,N,4176,8,6,0.17,Forest_5
0.54,Random Forest: 8 trees,5,N,4176,8,6,0.17,Forest_8
0.54,KNN with 4 neighbors,8,N,4176,8,6,0.17,KNN_4
0.54,Random Forest: 5 trees,8,N,4176,8,6,0.17,Forest_5
0.54,Random Forest: 8 trees,8,N,4176,8,6,0.17,Forest_8
0.54,KNN with 8 neighbors,8,C,1728,6,4,0.25,KNN_8
0.53,Decision Tree,5,C,1728,6,4,0.25,Tree
0.53,SVM,8,C,1728,6,4,0.25,SVM
0.53,Random Forest: 5 trees,8,C,1728,6,4,0.25,Forest_5
0.52,Neural Network with 0.12 learning rate and 150 epochs,5,N,4176,8,6,0.17,NN_.12_150
